# alu testbench data file
# op a b result zero
#
# ALU_OP_ADD
0 7fffffff 7fffffff fffffffe 0
0 7fffffff 00000001 80000000 0
0 7fffffff 80000001 00000000 1
0 aaaaaaaa bbbbbbbb 66666665 0
0 11111111 ffffffff 11111110 0
0 80000000 80000000 00000000 1
#
# ALU_OP_SUB
1 7fffffff 7fffffff 00000000 1
1 11111111 ffffffff 11111112 0
1 7fffffff 80000000 ffffffff 0
1 80000000 00000001 7fffffff 0
1 80000000 80000000 00000000 1
1 8fffffff 80000000 0fffffff 0
#
# ALU_OP_SLL
2 88442211 00000001 10884422 0
#
# ALU_OP_SRA
3 88442211 00000001 c4221108 0
3 08442211 00000001 04221108 0
#
# ALU_OP_SRL
4 88442211 00000001 44221108 0
#
# ALU_OP_OR
5 ff55aa00 f0ff55aa ffffffaa 0
#
# ALU_OP_NOR
#
6 ff55aa00 f0ff55aa 00000055 0
#
# ALU_OP_AND
7 ff55aa00 f0ff55aa f0550000 0
#
# ALU_OP_NAND
8 ff55aa00 f0ff55aa 0faaffff 0
#
# ALU_OP_XOR
9 ff55aa00 f0ff55aa 0faaffaa 0
#
# ALU_OP_NXOR
a ff55aa00 f0ff55aa f0550055 0
#
# ALU_OP_LST
b 00000000 80000000 00000000 1
b ffffffff 90000000 00000000 1
b 70000000 7fffffff 00000001 0
#
# ALU_OP_LSTU
c 00000000 80000000 00000001 0
