# pc testbench data file
# clk pc_inc_type alu_branch_result abs_addr branch_addr current_pc
#
# clean
1 0 0 00000000 00000000 00000000
# normal
0 0 0 00000000 00000000 00000000
# normal
0 0 0 00000000 00000000 00000001
# normal
0 0 0 00000000 00000000 00000002
# normal
0 1 0 00000000 01010101 00000003
# branch
0 1 1 00000000 01010101 00000004
# normal
0 0 0 00000000 00000000 01010106
# abs
0 2 1 00000111 00010101 01010107
# normal
0 0 0 00000000 00000000 00000111
# abs
0 2 0 0000f111 0ffff101 00000112
# normal
0 0 0 00000000 00000000 0000f111
